epoch,lr,train_loss,train_l_se,train_l_r,train_l_conv,train_l_dyn,train_l_sym,train_gnorm
96,0.001,0.021638062,0.019507138,0.0,0.01297915,0.0,0.020011328,0.3164236
97,0.001,0.024110276,0.018531272,0.006877063,0.075311854,0.0,0.04138182,0.322948
98,0.001,0.020897942,0.018918172,0.0,0.010567909,0.0,0.01874088,0.23016341
99,0.001,0.021481689,0.01926264,0.0,0.01513361,0.0,0.020677147,0.27887103
100,0.001,0.021004252,0.018971346,0.0,0.00966311,0.0,0.019362764,0.2717671
101,0.001,0.024318133,0.019261032,0.00942636,0.013088573,0.0,0.039835814,0.21759182
102,0.001,0.021757225,0.019388722,0.0,0.027106423,0.0,0.02097438,0.2685756
103,0.001,0.020771177,0.018891169,0.0,9.958945e-05,0.0,0.018790143,0.27604964
104,0.001,0.025300026,0.019815443,0.012349045,0.020344654,0.0,0.04046233,0.3445559
105,0.001,0.02149215,0.0192708,0.0,0.005536032,0.0,0.02165989,0.28684717
106,0.001,0.020879809,0.018815983,0.0,0.01153788,0.0,0.019484486,0.2701814
107,0.001,0.023079373,0.018956473,0.0,0.013499969,0.0,0.039878987,0.20186184
108,0.001,0.022386309,0.018811587,0.014632305,0.0027602154,0.0,0.020838864,0.250876
109,0.001,0.021543417,0.019602945,0.0,0.0075897197,0.0,0.01864576,0.29727772
110,0.001,0.020969043,0.018655917,0.0,0.01837712,0.0,0.021293564,0.27197886
111,0.001,0.023064392,0.019021185,0.0,0.006475062,0.0,0.03978455,0.25611046
112,0.001,0.021530678,0.018398698,0.010538621,0.0057505127,0.0,0.02020614,0.21380469
113,0.001,0.02128726,0.019220518,0.0,0.011576759,0.0,0.019509763,0.28261733
114,0.001,0.024402864,0.02012119,0.0,0.006669225,0.0,0.042149786,0.35276222
115,0.001,0.020973789,0.018771328,0.0,0.0046322863,0.0,0.021561343,0.325364
116,0.001,0.02090155,0.018208558,0.007388637,0.008685979,0.0,0.01867269,0.23650311
117,0.001,0.02309051,0.018918496,0.0,0.009010224,0.0,0.040819123,0.29651994
118,0.001,0.02081732,0.01873571,0.0,0.006538888,0.0,0.020162221,0.25536948
119,0.001,0.021787753,0.019420275,0.0,0.009226503,0.0,0.022752134,0.37567398
120,0.001,0.021833334,0.01909709,0.008311459,0.0046218974,0.0,0.018588802,0.26702178
121,0.001,0.023614664,0.019385774,0.0,0.005750874,0.0,0.041713797,0.3244411
122,0.001,0.020395704,0.018241087,0.0,0.0034662362,0.0,0.021199515,0.24470218
123,0.001,0.021296987,0.019315422,0.0,0.009773346,0.0,0.01883831,0.35058057
124,0.001,0.025299214,0.020019153,0.007878926,0.02879977,0.0,0.042041734,0.38073346
125,0.001,0.020912172,0.018770305,0.0,0.016919162,0.0,0.019726753,0.2620359
126,0.001,0.021328108,0.018920882,0.0,0.0349913,0.0,0.020573135,0.30845964
127,0.001,0.022934325,0.01797806,0.008639232,0.00189791,0.0,0.04073363,0.20956108
128,0.001,0.021049501,0.018979957,0.0,0.004950642,0.0,0.020200375,0.26983306
129,0.001,0.020080278,0.01755989,0.0,0.03437451,0.0,0.021766426,0.23280208
130,0.001,0.020631187,0.01854209,0.0,0.023826005,0.0,0.018508364,0.31679586
131,0.001,0.02333614,0.018019585,0.01024264,0.02594507,0.0,0.0403284,0.16517451
132,0.001,0.020148218,0.017948773,0.0,0.013337348,0.0,0.020660724,0.20109439
133,0.001,0.020432254,0.018380271,0.0,0.004609233,0.0,0.020058941,0.18003167
134,0.001,0.022283928,0.018091323,0.0,0.0012806901,0.0,0.041797988,0.29360065
135,0.001,0.0209006,0.01817435,0.006943933,0.0073765856,0.0,0.019580873,0.25087893
136,0.001,0.020331046,0.01819075,0.0,0.0015563741,0.0,0.021247324,0.25985697
137,0.001,0.023014018,0.018361796,0.0,0.028393745,0.0,0.04368286,0.36413807
138,0.001,0.02123135,0.019261934,0.0,0.01046664,0.0,0.01864748,0.35492116
139,0.001,0.022493932,0.018979527,0.012403628,0.011561333,0.0,0.021584276,0.35817808
140,0.001,0.020984527,0.019094475,0.0,0.00016459491,0.0,0.01888405,0.28987515
