s11,s22,s12,r_calc,theta_rad,theta_pi_coeff,phi_rad,phi_pi_coeff,se_target
-0.009867071,-0.21726866,0.5641633,0.6046348,4.667006,1.4855541,0.3679559,0.117124,1.0
1.0055912,0.2518199,0.24399528,1.0649697,0.2453737,0.07810487,1.339633,0.42641842,1.0
0.61558044,-0.4409006,-0.22749195,0.79062325,5.661646,1.8021578,1.8626599,0.5929031,1.0
-0.6477515,0.42755792,-0.20054999,0.8016284,2.5581746,0.81429225,1.8236607,0.5804892,1.0
-1.030366,-0.1894835,0.18044326,1.0630699,3.3234599,1.05789,1.4002327,0.4457079,1.0
0.28642535,0.72610766,0.4467303,0.89935523,1.1950691,0.3804023,1.0509777,0.33453658,1.0
0.33881116,-0.34068012,-0.46680397,0.6698969,5.4950366,1.7491244,2.341764,0.7454066,1.0
0.9205901,0.7280551,-0.3123513,1.2145425,0.66914105,0.2129942,1.8308952,0.58279204,1.0
0.7289267,-0.21980652,0.29446453,0.8163078,5.990309,1.9067744,1.2017487,0.38252848,1.0
-0.088461325,0.94960177,0.046289086,0.9548359,1.6636845,0.5295672,1.5222988,0.48456275,1.0
-0.5915981,-1.1473817,-0.06407232,1.2925085,4.236334,1.3484669,1.6203887,0.51578575,1.0
-0.29834026,0.81665343,-0.011966255,0.8695245,1.921054,0.6114905,1.5845586,0.50438064,1.0
-0.9708121,-1.0242093,0.030735882,1.411533,3.9537497,1.2585176,1.5490198,0.4930683,1.0
0.9068713,0.5683107,0.35118473,1.1263762,0.5598006,0.17819007,1.2537276,0.39907387,1.0
0.7518162,-0.11885065,-0.3323116,0.83053243,6.126398,1.950093,1.9824427,0.6310311,1.0
0.037730813,0.5554449,-0.4868315,0.739559,1.5029715,0.4784107,2.2893183,0.7287126,1.0
0.18136646,-0.3731617,0.5033811,0.6523312,5.1647954,1.6440054,0.68934166,0.21942426,1.0
-0.6293232,0.47358298,0.16495939,0.80469877,2.496476,0.79465294,1.3643376,0.43428212,1.0
-1.0797569,-0.29585594,-0.1483768,1.1293455,3.4090312,1.0851283,1.7025603,0.54194176,1.0
0.9164284,0.10046188,-0.2840965,0.96469915,0.10918728,0.03475539,1.8697206,0.59515053,1.0
0.6488027,-0.36486927,0.26406902,0.78981453,5.770892,1.836932,1.2298882,0.39148557,1.0
-0.2468026,0.28648004,0.51196146,0.63646436,2.281929,0.72636056,0.6361591,0.20249574,1.0
-0.13675387,-0.43796128,-0.53209686,0.70259434,4.409731,1.4036609,2.4300137,0.77349734,1.0
-0.64543045,0.14422055,-0.39561585,0.7706439,2.9217553,0.93002355,2.109889,0.6715985,1.0
-0.85474735,-0.581768,0.37780842,1.1008116,3.739201,1.1902246,1.2204651,0.3884861,1.0
0.48387352,1.1290109,0.11180223,1.2334094,1.1658958,0.37111616,1.480027,0.4711072,1.0
0.01951184,-0.9645588,-0.12964708,0.9734283,4.732615,1.5064381,1.7043793,0.54252076,1.0
-0.16499078,0.88081855,-0.131161,0.90568566,1.7559658,0.55894125,1.716127,0.5462602,1.0
-0.7135338,-1.1175629,0.11451577,1.3308611,4.14416,1.319127,1.4846435,0.47257668,1.0
0.78319263,0.74578446,0.37171122,1.1435709,0.76093686,0.24221371,1.2397377,0.39462078,1.0
0.5906098,-0.23917733,-0.38846436,0.74627763,5.8984046,1.8775204,2.118275,0.6742678,1.0
0.12958649,0.46596017,-0.5248716,0.71372384,1.2995446,0.41365787,2.3970513,0.76300514,1.0
0.24770649,-0.3075026,0.50593585,0.64178455,5.3905005,1.7158495,0.6627119,0.21094775,1.0
-0.66294634,0.34452412,0.266711,0.7933029,2.6623204,0.84744287,1.2279139,0.3908571,1.0
-0.9020109,-0.07030119,-0.2856842,0.94877887,3.2193737,1.0247585,1.87665,0.5973562,1.0
1.0986826,0.38516468,-0.15024242,1.1738944,0.33718213,0.10732841,1.6991347,0.54085135,1.0
0.59171313,-0.5121351,0.16788505,0.80037,5.569754,1.7729077,1.3594676,0.432732,1.0
-0.21151277,0.3687979,0.49707308,0.654088,2.0915172,0.66575056,0.7075627,0.2252242,1.0
-0.08223325,-0.5939867,-0.47932693,0.76768273,4.5748205,1.4562106,2.2451358,0.7146489,1.0
-0.81409895,0.024578238,-0.3248742,0.87687194,3.111411,0.99039286,1.9503353,0.620811,1.0
-0.9252067,-0.42629805,0.3448074,1.0754671,3.5733583,1.1374352,1.2444211,0.39611155,1.0
0.813334,1.1140938,0.03373093,1.3798025,0.940192,0.2992724,1.5463477,0.49221775,1.0
