epoch,lr,train_loss,train_l_se,train_l_r,train_l_conv,train_l_dyn,train_l_sym,train_gnorm
168,0.001,0.011660095,0.011657864,0.0,0.00022313604,0.0,0.0,0.18658756
169,0.001,0.011163708,0.011163453,0.0,2.562925e-05,0.0,0.0,0.1673606
170,0.001,0.012326827,0.010775498,0.015512521,4.422217e-06,0.0,3.0954054e-06,0.15010756
171,0.001,0.0104784435,0.010478406,0.0,3.854305e-06,0.0,0.0,0.14834902
172,0.001,0.01026775,0.010267749,0.0,3.5274258e-08,0.0,0.0,0.12672104
173,0.001,0.010079682,0.010079682,0.0,1.2306978e-12,0.0,0.0,0.13644227
174,0.001,0.011372029,0.009876564,0.014954655,1.24753e-12,0.0,0.0,0.10881494
175,0.001,0.009784956,0.009784956,0.0,1.5340391e-12,0.0,0.0,0.122297645
176,0.001,0.009718595,0.009718595,0.0,1.8055403e-12,0.0,0.0,0.1126241
177,0.001,0.010719608,0.009463539,0.012560317,8.68079e-13,0.0,3.704891e-06,0.10416109
178,0.001,0.009329947,0.009329947,0.0,1.0911089e-12,0.0,0.0,0.14038785
179,0.001,0.009324505,0.009324505,0.0,1.065677e-12,0.0,0.0,0.073312595
180,0.001,0.009503709,0.009503709,0.0,1.1963372e-12,0.0,0.0,0.04755927
181,0.001,0.010576878,0.009261917,0.013149611,1.472807e-12,0.0,0.0,0.09189219
182,0.001,0.009396704,0.009396704,0.0,1.4306878e-12,0.0,0.0,0.099940844
183,0.001,0.009347457,0.009347457,0.0,1.3563208e-12,0.0,0.0,0.12735991
184,0.001,0.009401272,0.009401272,0.0,1.0931306e-12,0.0,0.0,0.102733456
185,0.001,0.010471149,0.009106332,0.013647737,1.21213e-12,0.0,4.334025e-06,0.092005104
186,0.001,0.009292996,0.009292996,0.0,1.409718e-12,0.0,0.0,0.11514252
187,0.001,0.00917178,0.00917178,0.0,9.426286e-13,0.0,0.0,0.09091871
188,0.001,0.009316658,0.009316658,0.0,9.930339e-13,0.0,0.0,0.0654633
